NUMBER,SERVER,ADDRESS,LOCATION
01,sdodc001.scccd.net,10.10.1.1,cn=sdodc001.scccd.net
02,sdodc002.scccd.net,10.10.1.2,cn=sdodc002.scccd.net
03,sccdc001.scccd.net,10.128.4.10,cn=sccdc001.scccd.net
04,sccdc1-08e.scccd.net,10.128.4.11,cn=sccdc1-08e.scccd.net
05,sccdc002.scccd.net,10.128.4.15,cn=sccdc002.scccd.net
06,sccas001.scccd.net,10.128.4.18,cn=10.128.4.18
07,sccas001.scccd.net,10.128.4.18,cn=sccas001.scccd.net
08,sccsusris001.scccd.net,10.128.4.31,cn=sccsusris001.scccd.net
09,sctcdc001.scccd.net,10.136.10.5,cn=sctcdc001.scccd.net
10,sctcdc01.scccd.net,10.136.4.10,cn=10.136.4.10
11,sctcdc1-08e.scccd.net,10.136.4.10,cn=sctcdc1-08e.scccd.net
12,socdc001.scccd.net,10.144.10.10,cn=socdc001.scccd.net
13,socdc003.scccd.net,10.144.10.14,cn=socdc003.scccd.net
14,socas001,10.144.10.15,cn=socas001
15,socsusris001.scccd.net,10.144.10.31,cn=10.144.10.31
16,socdc003.scccd.net,10.144.4.14,cn=10.144.4.14
17,socsusris001.scccd.net,10.144.4.31,cn=socsusris001.scccd.net
18,socdhcp.scccd.net,10.144.4.45,cn=socdhcp.scccd.net
19,smercdc001.scccd.net,10.152.4.10,cn=smercdc001.scccd.net
20,smercdc003.scccd.net,10.152.4.30,cn=smercdc003.scccd.net
21,swiav01.scccd.net,10.160.32.15,cn=swiav01.scccd.net
22,swids01.scccd.net,10.160.32.20,cn=swids01.scccd.net
23,swidc01.scccd.net,10.160.60.10,cn=10.160.60.10
24,swidc02.scccd.net,10.160.60.15,cn=10.160.60.15
25,sdodc3b-08e.scccd.net,10.17.1.13,cn=sdodc3b-08e.scccd.net
26,sdodhcpsrv.scccd.net,10.17.113.16,cn=sdodhcpsrv.scccd.net
27,sdowds1.scccd.net,10.17.130.16,cn=sdowds1.scccd.net
28,sfcdc001.scccd.net,10.20.1.1,cn=sfcdc001.scccd.net
29,sfcsvcs3-08e.scccd.net,10.31.101.11,cn=sfcsvcs3-08e.scccd.net
30,sfcdhcp1.scccd.net,10.31.167.10,cn=sfcdhcp1.scccd.net
31,sfcdhcp2.scccd.net,10.31.167.11,cn=sfcdhcp2.scccd.net
32,sfcsvcs4-08e.scccd.net,10.31.8.10,cn=sfcsvcs4-08e.scccd.net
33,sctcdc01.scccd.net,10.32.10.4,cn=10.32.10.4
34,sfcdc001.scccd.net,10.32.4.10,cn=sfcdc001.scccd.net
35,sfcdc01.scccd.net,10.32.4.14,cn=10.32.4.14
36,sfcsvcs1-08e.scccd.net,10.32.4.14,cn=sfcsvcs1-08e.scccd.net
37,sfcdc002.scccd.net,10.32.4.15,cn=sfcdc002.scccd.net
38,sfcdc004.scccd.net,10.32.4.16,cn=sfcdc004.scccd.net
39,sfcsvcs2-08e.scccd.net,10.32.4.16,cn=sfcsvcs2-08e.scccd.net
40,sfcdhcp-lp-01.scccd.net,10.32.5.46,cn=sfcdhcp-lp-01.scccd.net
41,socdc002.scccd.net,10.4.10.202,cn=socdc002.scccd.net
42,sdoasris002.scccd.net,10.4.152.11,cn=10.4.152.11
43,sdodc01.scccd.net,10.4.4.11,cn=10.4.4.11
44,sdodc02.scccd.net,10.4.4.12,cn=10.4.4.12
45,sdodc003.scccd.net,10.4.4.13,cn=sdodc003.scccd.net
46,smcdc01.scccd.net,10.4.4.141,cn=10.4.4.141
47,sdodc001.scccd.net,10.4.4.14,cn=sdodc001.scccd.net
48,srcdc01.scccd.net,10.4.4.172,cn=10.4.4.172
49,swidc02.scccd.net,10.4.4.201,cn=10.4.4.201
